species_ncbi_tax_id,ncbi_tax_id,organism_name,primary_key
5478,,Nakaseomyces glabratus CBS138 2020,<i>Nakaseomyces glabratus</i> CBS138 2020
5478,,Nakaseomyces glabratus DSY562,<i>Nakaseomyces glabratus</i> DSY562
79252,,Podosphaera aphanis DRCT72020,<i>Podosphaera aphanis</i> DRCT72020
1664694,,Phialophora attinorum CBS 131958,<i>Cyphellophora attinorum</i> CBS131958
29920,,Phytophthora cactorum 10300,<i>Phytophthora cactorum</i> 10300
29920,,Phytophthora cactorum P414,<i>Phytophthora cactorum</i> P414
2698477,,Pneumocystis canis CanA,<i>Pneumocystis canis</i> CanA
4785,,Phytophthora cinnamomi GKB4,<i>Phytophthora cinnamomi</i> GKB4
48703,,Podospora comata strain T mat+,<i>Podospora comata</i> strain T mat+
542832,,Peronospora effusa R13,<i>Peronospora effusa</i> R13
27334,,Penicillium expansum d1,<i>Penicillium expansum</i> d1
114742,,Pythium insidiosum Pi-s,<i>Pythium insidiosum</i> Pi-s
4909,,Pichia kudriavzevii strain CBS5147,<i>Pichia kudriavzevii</i> strain CBS5147
4909,,Pichia kudriavzevii strain CBS573,<i>Pichia kudriavzevii</i> strain CBS573
5022,,Plenodomus lingam CAN1,<i>Plenodomus lingam</i> CAN1
2698480,,Pneumocystis sp. macacae isolate P2C,<i>Pneumocystis sp. 'macacae'</i> P2C
318829,,Pyricularia oryzae BR32,<i>Pyricularia oryzae</i> BR32
42067,,Pneumocystis oryctolagi CS1,<i>Pneumocystis oryctolagi</i> CS1
170000,,Phakopsora pachyrhizi MT2006,<i>Phakopsora pachyrhizi</i> MT2006
4796,,Phytophthora palmivora var. palmivora strain sbr112.9,<i>Phytophthora palmivora</i> var. palmivora strain sbr112.9
1578925,,Pyricularia pennisetigena Br36,<i>Pyricularia pennisetigena</i> Br36
639000,,Phytophthora plurivora AV1007,<i>Phytophthora plurivora</i> AV1007
164328,,Phytophthora ramorum 14567,<i>Phytophthora ramorum</i> 14567
164328,,Phytophthora ramorum strain Pr102,<i>Phytophthora ramorum</i> strain Pr102
27349,,Puccinia sorghi strain RO10H11247,<i>Puccinia sorghi</i> strain RO10H11247
27350,,Puccinia striiformis strain 93-210,<i>Puccinia striiformis</i> strain 93-210
27350,,Puccinia striiformis 93TX-2,<i>Puccinia striiformis</i> 93TX-2
264951,,Paecilomyces variotii CBS 101075,<i>Paecilomyces variotii</i> CBS 101075
38082,,Pneumocystis wakefieldiae 2A,<i>Pneumocystis wakefieldiae</i> 2A
588596,,Rhizophagus irregularis A1 (DAOM-664342),<i>Rhizophagus irregularis</i> A1 (DAOM-664342)
588596,,Rhizophagus irregularis C2,<i>Rhizophagus irregularis</i> C2
483707,,Raffaelea lauricola RL4,<i>Harringtonia lauricola</i> RL4
50990,,Rickenella mellea Ricmel1,<i>Rickenella mellea</i> Ricmel1
58291,,Rhizopus microsporus var. microsporus ATCC 52814,<i>Rhizopus microsporus</i> var. microsporus ATCC 52814
5286,,Rhodotorula toruloides NBRC 0880,<i>Rhodotorula toruloides</i> NBRC 0880
563466,,Scedosporium apiospermum IHEM 14462,<i>Scedosporium apiospermum</i> IHEM 14462
286115,,Synchytrium endobioticum MB42,<i>Synchytrium endobioticum</i> MB42
36035,,Saccharomycodes ludwigii UTAD17,<i>Saccharomycodes ludwigii</i> UTAD17
27291,,Saccharomyces paradoxus CBS432,<i>Saccharomyces paradoxus</i> CBS432
63577,,Trichoderma atroviride strain JCM 9410,<i>Trichoderma atroviride</i> strain JCM 9410
44093,,Trichomonascus ciferrii CBS 4856,<i>Trichomonascus ciferrii</i> CBS 4856
37727,,Talaromyces marneffei TM4,<i>Talaromyces marneffei</i> TM4
523103,,Trichophyton mentagrophytes TIMM 2789,<i>Trichophyton mentagrophytes</i> TIMM 2789
51453,,Trichoderma reesei QM6a 2017,<i>Trichoderma reesei</i> QM6a 2017
5270,,Mycosarcoma maydis 521,<i>Mycosarcoma maydis</i> 521
253628,,Verruconis gallopava strain CBS 43764,<i>Verruconis gallopava</i> strain CBS 43764
114810,,Xylaria arbuscula CBS 124340,<i>Xylaria arbuscula</i> CBS 124340
4952,,Yarrowia lipolytica CLIB89 (W29),<i>Yarrowia lipolytica</i> CLIB89 (W29)
